 T [K]T_c [C]T_f [F]E [W/m^2]Lambda [m]Spectrum
              500.00              226.84              440.31             3543.75                5.79  MIR   
             1000.00              726.84             1340.31            56700.00                2.90  MIR   
             1500.00             1226.84             2240.31           287043.72                1.93  NIR   
             2000.00             1726.84             3140.31           907200.00                1.45  NIR   
             2500.00             2226.84             4040.31          2214843.75                1.16  NIR   
             3000.00             2726.84             4940.31          4592699.50                0.97  NIR   
             3500.00             3226.84             5840.31          8508544.00                0.83  NIR   
             4000.00             3726.84             6740.31         14515200.00                0.72  red   
             4500.00             4226.84             7640.31         23250544.00                0.64  red   
             5000.00             4726.84             8540.31         35437500.00                0.58  yellow
             5500.00             5226.84             9440.31         51884044.00                0.53  green 
             6000.00             5726.84            10340.31         73483192.00                0.48  blue  
             6500.00             6226.84            11240.31        101213040.00                0.45  violet
